Era: Run2018A

+---------------------------+-------+------+-------+-------------------+------------------+
| hltpath                   | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
| HLT_Mu9_IP4_part3_v2   | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP4_part4_v2   | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP5_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP5_part0_v2   | 83    | 186  | 81777  | 3.543713010       | 3.417457311      |
| HLT_Mu9_IP5_part1_v2   | 83    | 186  | 81777  | 3.543713010       | 3.417457311      |
| HLT_Mu9_IP5_part2_v2   | 83    | 186  | 81777  | 3.543713010       | 3.417457311      |
| HLT_Mu9_IP5_part3_v2   | 83    | 186  | 81777  | 3.543713010       | 3.417457311      |
| HLT_Mu9_IP5_part4_v2   | 83    | 186  | 81777  | 3.543713010       | 3.417457311      |
| HLT_Mu9_IP6_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP6_part0_v3   | 87    | 206  | 95465  | 4.401238334       | 4.241990891      |
| HLT_Mu9_IP6_part1_v3   | 87    | 206  | 95465  | 4.401238334       | 4.241990891      |
| HLT_Mu9_IP6_part2_v3   | 87    | 206  | 95465  | 4.401238334       | 4.241990891      |
| HLT_Mu9_IP6_part3_v3   | 87    | 206  | 95465  | 4.401238334       | 4.241990891      |
| HLT_Mu9_IP6_part4_v3   | 87    | 206  | 95465  | 4.401238334       | 4.241990891      |
+------------------------+-------+------+--------+-------------------+------------------+
#Sum delivered : 92.599895431
#Sum recorded : 89.164332074
